item_no,name,diet_type,category,meal,ingredients,serving_size,calories,total fats(g),carb_type(g),total carbs(g),dietary fiber(g),total sugar(g),added sugar,proteins(g),sodium(mg),iodine,cholestrol (mg),vitamin b 
1,Pomegranate,Veg,Fruit,Breakfast,pomegranate,100gm,83,1.17 g,simple carb,      18.70 g        ,4 g,14g ,0,1.67 g        ,3 mg,0,0 mg,
2,Watermelon,Veg,Fruit,Breakfast,watermelon,100gm,30,0.2 g,simple carb,8 g,0.4 g,6 g,0,0.6 g,1,0,0 mg,
3,Pineapple,Veg,Fruit,Breakfast,pineapple,100gm,50,,simple carb,13 g,1.4 g,10 g,0,0.5 g,1,0,0 mg,
4,Orange,Veg,Fruit,Breakfast,orange,100gm,47,0.1,simple carb,12,2.4,9,,0.9,0,,0,
5,Apple,Veg,Fruit,Breakfast,apple,100gm,52,0.2,simple carb,14,2.4,10,0,0.3,1,,0,0
6,Green Grapes,Veg,Fruit,Breakfast,grapes,100gm,34,0,simple carb,8.9,0.9,16,0,0.6,2,,0,5%
7,Banana,Veg,Fruit,Breakfast,Banana,100gm,89,0.3,simple carb,23,2.6,12,0,1.1,1,,0,
8,Cherry,Veg,Fruit,Breakfast,cherry,100gm,50,0.3,simple carb,12,1.6,8,0,1,3,,0,0
9,Apricot,Veg,Fruit,Breakfast,apricot,100gm,48,0.4,simple carb,11,2,9,0,1.4,1,,0,
10,Mango,Veg,Fruit,Breakfast,mango,100gm,60,0.4,simple carb,15,1.6,14,0,0.8,1,,0,5%
11,Pear,Veg,Fruit,Breakfast,pear,100gm,57,0.1,,15,3.1,10,0,0.4,1,,0,
12,Guava,Veg,Fruit,Breakfast,guava,100gm,68,1,simple carb,14,5,9,0,2.6,2,,0,5%
13,Kiwi,Veg,Fruit,Breakfast,pear,100gm,61,0.5,,15,3,9,,1.1,3,,0,
14,Fig,Veg,Fruit,Breakfast,fig,100gm,37,0,simple carb,10,1,8,0,0,1,,0,0
15,Blackberry,Veg,Fruit,Breakfast,blackberries,100gm,43,0.5,,10,5,4.9,0,1.4,1,,0,0
16,Plum,Veg,Fruit,Breakfast,plum,100gm,46,0.3,simple carb,11,1.4,10,0,0.7,0,,0,0
17,Strawberry,Veg,Fruit,Breakfast,strawberry,100gm,32,0.3,simple carb,7.7,2,4.9,0,0.7,1,,0,
18,Avocado ,Veg,Fruit,Breakfast,Avocado ,100gm,160,15 g,simple carb,9 g,7 g,0.7 g,0,2 g,7,,0,
19,Blueberry,Veg,Fruit,Breakfast,blueberry,100gm,57,0.3,,14,2.4,10,0,0.7,1,,0,
20,Litchi,Veg,Fruit,Breakfast,litchi,100gm,66,0.44,,16.53,1.3,15.23,0,0.83,1,,0,
21,Dragonfruit,Veg,Fruit,Breakfast,dragonfruit,100gm,50,0.38,,12.26,1.7,9.51,0,0.78,2,,,
22,Gooseberry,Veg,Fruit,Breakfast,gooseberry,100gm,44,0.58,,10.18,4.3,,,0.88,,,0,
23,Raspberry,Veg,Fruit,Breakfast,raspberry,100gm,52,0.7,,12,6.5,4.4,,1.2,1,,,
24,Jackfruit,Veg,Fruit,Breakfast,jackfruit,100gm,94,0.3,,24.01,1.6,0,0,1.47,3,,0,0
25,Custard Apple,Veg,Fruit,Breakfast,custard apple,100gm,101,0.6,,25.2,2.4,0,0,1.7,4,,0,
26,Muskmelon,Veg,Fruit,Breakfast,muskmelon ,100gm,34,0.19,,8.16,0.9,7.86,0,0.84,16,,0,
27,Chickoo,Veg,Fruit,Breakfast,chickoo,100gm,83,0.4,,20,10.9,0,0,0.44,12,,0,0
28,Water chestnut,Veg,Fruit,Breakfast,water chestnut,100gm,50,0.06,,12.3,2.5,2.46,0,0.88,8,,0,
29,Olive,Veg,Fruit,Breakfast,olive,100gm,115,11 g,,6 g,3.2 g,0 g,0,0.8 g,735,,0,
30,Jamun,Veg,Fruit,Breakfast,jamun,100gm,60,0.23,,15.56,,,0,0.72,14,,,
31,Papaya,Veg,Fruit,Breakfast,papaya,145gm,62,0.4,,62,6.3,27.5,0,1.7,30,,,
32,Mulberry,Veg,Fruit,Breakfast,mulberry,100gm,43,0.4,,10,1.7,8,,1.4,10,,,
33,Star Fruit,Veg,Fruit,Breakfast,star fruit,100gm,31,0.3 g,,7 g,2.8 g,4 g,0,1 g,2 mg,,0,
34,Raisins,Veg,Dry-Fruit,Breakfast,raisins,100g ,338,0.5,,80.3,3.8,0.5,0,3.3,200,,,
35,Almond,Veg,Dry-Fruit,Breakfast,almond,6g,35,3,,1.5,0.5,0,0,1.5,0,,,
36,Cashew,Veg,Dry-Fruit,Breakfast,cashew,28.4gm,157,12,,9,0.9,1.7,,5,3.4,,0,
37,Pistachio,Veg,Dry-Fruit,Breakfast,Pistachio,20g,112,9,,6,2,2,,4,0.2,,0,
38,Dry Figs,Veg,Dry-Fruit,Breakfast,Dry Figs,28,249,0.93,,63.87,9.8,0,0,3.3,0,,0,
39,Date,Veg,Dry-Fruit,Breakfast,date,100gm,282,0.4,,75,8,75,0,2.5,2,,0,
40,Walnut,Veg,Dry-Fruit,Breakfast,Walnut,20gm,131,13,,3,1,0.5,,3,0.4,,0,
41,Prune,Veg,Dry-Fruit,Breakfast,Prune,1prune(9gm),23,0,,6,0.7,3.6,0,0.2,0.2,,0,
42,Peanuts,Veg ,Dry-Fruit,Breakfast,Peanuts,1 oz (28.4gm),161,14,,4.6,2.4,1.1,0,7,5.1,,0,
43,Hazelnuts,Veg,Dry-Fruit,Breakfast,Hazelnuts,10 nuts(14g),88,9,,2.3,1.4,0.6,0,2.1,0,,0,
44,Orange Juice,Veg,Beverage,Breakfast,orange,248ml,111,0.5,,26,0.5,21,,1.7,2.5,,,
45,Apple Juice,Veg,Beverage,Breakfast,apple,248ml,113,0.3,,28,0.5,24,0,0.2,9.9,,,
46,Mango Juice,Veg,Beverage,Breakfast ,Mango,251ml,128,0.1,,33,0.8,0.1,0,0.3,13,,,
47,Watermelon Juice,Veg,Beverage,Breakfast ,Watermelon ,200ml,67,0 g,,16 g,0 g,16 g,0,0,6,,0,
48,Pomegranate Juice,Veg,Beverage,Breakfast ,pomegranate,249ml,136,0.7,,33,0.8,31,0,0.3,13,,,
49,Grape Juice,Veg,Beverage,Breakfast,grape,253ml,152,0.3,,37,0.5,36,,0.9,12.7,,,
50,Mosambi Juice,Veg,Beverage,Breakfast,mosambi,200ml,50,0.2,,16.8,0.8,12.5,0,0,15,,0,
51,Sugarcane Juice,Veg,Beverage,Breakfast,sugarcane,250ml,403,0,,109.5,0,109.5,,0,87,,0,
52,Lemon Juice,Veg,Beverage,Breakfast,"Lemon, sugar",244ml,54,0.6,,17,0.7,6.2,0,0.9,2.4,,,
53,Chaas,Veg,Beverage,Breakfast,milk,,,,,,,,,,,,,
54,Carrot Juice,Veg,Beverage,Breakfast,carrot,236ml,93,0.4,,22,1.9,9,,2.2,155.8,,,
55,Cranberry Juice,Veg,Beverage,Breakfast,cranberry,253ml,117,0.3,,31,0.3,31,,1,5.1,,,
56,Cocunut Water,Veg,Beverage,Breakfast,coconut,240ml,45,0.5,,9,2.6,6,,1.7,252,,,
57,Tomato Juice,Veg,Beverage,Breakfast,tomato,243ml,42,0.1,,10,1,9,,1.8,24.3,,,
58,Guava Juice,Veg,Beverage,Breakfast,Guava ,237ml,120,1,,39,6,33,0,1,75,,,
59,Beetroot Juice,Veg,Beverage,Breakfast,Beetroot,263.2ml,73.5,0.2,,17.3,3.2,14.3,0,2.1,55.5,,,
60,Papaya Juice,Veg,Beverage,Breakfast,Papaya,250ml,,0.4,,36,1.5,35,,0.4,12.5,,,
61,Pineapple Juice,Veg,Beverage,Breakfast,Pineapple,200ml,75,0 g,,18 g,0 g,18 g,0,1 g,2,,0,
62,Avocado juice,Veg,Beverage,Breakfast,Avocado,118ml,171,9,,9,0,0,0,13,305,,47,
63,Milk Tea,Veg,Beverage,Breakfast,"tea, sugar, whole milk",304ml,92,4,,11,0,10,,3.8,52,,12,
64,Coffee,Veg,Beverage,Breakfast,"Coffee syrup, milk",271ml,220,4.7,,37,0,25,0,8.5,131,,,
65,Iced Coffee,Veg,Beverage,Breakfast,"Coffee, water",237ml,2.4,0.1,,0,0,0,0,0.3,,,,
66,Latte,Veg,Beverage,Breakfast,"milk, espresso",239.6,106.3,4.2,,10.7,0,10.7,,6.8,101.8,,16.3,
67,Black Tea,Veg,Beverage,Breakfast,2 cups water ; 2 tsp tea powder ; 1 tsp cane sugar,1 teacup,1,0,,0.36,0,0,0,0,5,,0,
68,Cappucino,Veg,Beverage,Breakfast,"milk, espresso",144ml,60,2.3,,6,0,5.8,0,3.8,58,,,
69,Frappe,Veg,Beverage,Breakfast,"sugar, whole milk, coffee, whipped cream",263ml,204,7,,33,0,32,,3,,,23.5,
70,Green Tea,Veg,Beverage,Breakfast,,245ml,2.5,0,,0,0,0,0,0.5,0,,0,
71,Macchiato,Veg,Beverage,Breakfast,"milk, espresso",240g,47.4,1.5,,6,0,0,,2.3,,,4.9,
72,Ginger Tea,Veg,Beverage,Breakfast,"tea, sugar, whole milk, ginger",237g,2.4,2,,0.5,0,0,0,,2.4,,0,
73,Americano,Veg,Beverage,Breakfast,"espresso,water",237ml,4.5,0.1,,0.8,0,0,,0.1,,,0,
74,Chamomile Tea,Veg,Beverage,Breakfast,"chamomile flowers,fresh lavender flowers,cup apple mint leaves,whole lemons - juiced, cup honey",237ml,2.4,0g,,0.5,0,0,0,0,2.4,,0,
75,Mocha,Veg,Beverage,Breakfast,"milk,chocolate syrup, whipped cream",203ml,179.5,6.5,,23.5,0.6,11.5,0,6.5,103.5,,24,
76,"instant, coffee",Veg,Beverage,Breakfast,"Coffee powder,Water,Milk,Sugar.",30 ml,0.6,0,,0.1,0,0,0,0,1.2,,0,
77,Iced Mocha,Veg,Beverage,Breakfast,"milk, espresso, chocolate syrup, whipped cream",242ml,243.4,11.7,,29.6,0.7,15.8,,6.6,99,,39.9,
78,Caramel Latte,Veg,Beverage,Breakfast,"milk, espresso, sugar",231.2ml,138.4,3.7,,20.3,0,10.1,,6.8,102.4,,15.2,
79,,Veg,Beverage,Breakfast,"milk, espresso",251ml,105.6,4.1,,10.6,,10.6,,6.7,102.4,,16.3,
80,Lemon Tea,Veg,Beverage,Breakfast,"tea, lemon juice",181ml,2.2,0,,0.7,0,0,,0,0.6,,0,
81,Chocolate-flavored drink,Veg,Beverage,Breakfast,"milk, sugar, and cocoa powder",244ml,120,1,,26,1.5,21,0,1.6,222,,0,
82,Lassi,Veg,Beverage,Breakfast,"yogurt, sugar, water",244ml,130,2.1,,22,0,21,0,6.9,95,,,
83,Oats Masala,Veg,Porridge,Breakfast,"salt,tomatoe,cilantro,jalapeno,oat.,onion,oil,cumin,chili powder,turmeric, garam masala, peas and carrot, water, garlic paste, cariander",388g,265,6.5,,46,9.3,9.2,,9.3,404,,0,
84,Poha,Veg,Porridge,Breakfast,"water, uncooked poha",139g,158,0.2,,35,0,0,0,2.9,4.2,,0,
85,Musseli,Veg,Porridge,Breakfast,"oats, seeds, nuts, and dried fruits.",177ml,190,4,,38,3,13,0,3,140,,0,
86,Upma,Veg,Porridge,Breakfast,"salt,tomato,green hot chili pepper,onion,ginger root,vegetable oil,cumin,mustard seed,water,farina grain",155g,132,4,,21,2,2.7,0,3.4,179,,0,
87,Idli Sambar,Veg,Bread,Breakfast,"idli,sambar",3,304,2,,61,8.9,9.4,,12,427,,,
88,Sabudana Khichdi,Veg,Porridge,Breakfast,"salt, jalapeno, potatoes, fresh ginger, sugar, oil, lemon juice, pearl tapico, cumin, water,peanut",184g,262,11,,38,2.6,2.9,,4.5,256,,0,
89,Dosa,Veg,Bread,Breakfast,"olive oil,salt,fenugreek,uncooked rice,water,uncooked lentil",97,168,3.7,,29,0.9,0.1,,3.9,94,,,
90,Medu Vada,Veg,Bread,Breakfast,"salt, cilantro, green chili pepper, oil, water, coriander, uncooked lentil",2,270,16.8,,22,4,0.8,,,434,,0,
91,Ragi Dosa,Veg,Bread,Breakfast,"sour cream, salt, cilantro, jalapeno, onion, vegetable oil, rice flour, water, ragi flour",2,270,15.6,,30,1.5,2,,4,136,,7.4,
92,Onion Dosa,Veg,Bread,Breakfast,"olive oil, salt, fenugreek, uncooked rice, water, uncooked lentil",150g,191,3.9,,35,1.8,2.6,,4.6,685,,0,
93,Carrot dosa,Veg,Bread,Breakfast,"salt,carrot,ginger,oil,dosa batter",2,584,28,,72,6.6,5.8,,9.2,3778,,0,
94,Thepla,Veg,Bread,Breakfast,"salt, spinach, jalapeno, fresh ginger, vegetable oil, whole wheat flour, oil, cumin, chili powder, turmeric, whole milk yogurt, chickpea flour, millet flour, sorghum flour, coriander",2,256,14.2,,28,3.8,1.6,,5.6,342,,1.7,
95,Aloo paratha,Veg,Bread,Breakfast,"Potato, Atta flour, Maida, Butter, Ghee",100 g,265,9,,41,3,1,0,5,521,,0,
96,Appam,Veg,Bread,Breakfast,"salt,rice,sugar,yeast,uncooked rice,unsweetened coconut,water",46g,94,2.4,,17,0.6,1.6,,34,68,,,
97,Palak paratha,Veg,Bread,Breakfast,"salt,flour,spinach,garlic clove,green chili pepper,oil,garam masala,ghee,water",83g,160,6,,23,1.8,0.6,,4.1,361,,9.4,
98,Dhokla,Veg,Bread,Breakfast,"coconut, salt, baking soda, cilantro, oil, lemon juice, turmeric, mustard seed, whole milk yogurt, gram flour, ginger paste",5,760,37,,80,12.5,28.5,,28.5,1550,,16.5,
99,Gobhi Paratha,Veg,Bread,Breakfast,"Dough,Cauliflower Stuffing,Ghee,green chili ,teaspoon red chili powder",100gm,200,8,,22,3,0,0,6,490,,0,
100,Egg White Omlette,Non-veg,Poultry ,Breakfast,egg,1 omlette,125,2,,15,3,0,0,12,300,,0,
101,Sheera,Veg,Porridge,Breakfast,"cashew,almond,milk,sugar,semolina,cardamom,ghee",122g,318,13,,46,0.9,30,,4.9,52,,31,
102,Khaman Dhokla,Veg,Bread,Breakfast,"coconut, salt, baking soda, cilantro, oil, lemon juice, turmeric, mustard seed, whole milk yogurt, gram flour, ginger paste",5,760,37,,80,12.5,28.5,,28.5,1550,,16.5,
103,Bread Butter,Veg,Bread,Breakfast,"white bread, butter",78g (2 pieces),336,24,,24,1.4,2.8,0,4.6,428,,62,
104,Bread Jam,Veg,Bread ,Breakfast,"toast, jelly",96g (2 slices),262,1.9,,56,2,22,0,5.2,290,,0,
105,Paneer Paratha,Veg,Bread,Breakfast,"salt, butter, whole wheat flour, paneer, chili powder, water,mango powder",1,176,7.8,,21,3,1.1,,7.7,445,,20,
106,Methi Thepla,Veg,Bread,Breakfast,"salt, spinach, jalapeno, fresh ginger, vegetable oil, whole wheat flour, oil, cumin, chili powder, turmeric, whole milk yogurt, chickpea flour, millet flour, sorghum flour, coriander",2,256,14.2,,28,3.8,1.6,,5.6,342,,1.7,
107,Plain paratha,Veg,Bread,Breakfast,"Wheat flour,Margarine (palm oil),Salt,Baking soda,Sugar",80 g,250,10,,37,1,0,0,4,411,,0,
108,Brown Bread,Veg,Bread,Breakfast,wheat ,1 slice(24g),75,1,,13,1.1,1.5,0,3.1,144.2,,0,
109,White Bread,Veg,Bread,Breakfast,Wheat Flour,1 slice(25g),66,0.8,,12,0.7,1.3,0,2.3,122.8,,0,
110,"Milk, indian buffalo",Veg,Beverage,Breakfast,milk,100 g,97,6.9,,5.2,0,0,0,3.8,52,,19,
111,Veg Grilled Cheese Sandwich,Veg,Bread,Breakfast,"bread,butter,clove garlic,carrot,cilantro,jalapeno,onion,shredded mozzarella,chili powder,   parsley",153 gm,301,10,,39,3,6.5,0,13,525,,25,
112,Chole Bhature,Veg,Bread,Breakfast,"chole masala,bhatura",281,511,27,,59,11,8.6,0,13,507,,5.7,
113,Mysore Bonda,Veg,Bread,Breakfast,"salt,flour,baking soda, cilantro, jalapeno, plain yoghurt, ginger, oil, rice flour, cumin, water",7,420,18.9,,53.9,2,3.5,,8.4,1197,,2.7,
114,Egg Bhurji,Non-veg,Poultry ,Breakfast,"egg,tomatoes,spices",100 g,82,5.02,,6.33,1.4,2.49,0,3.75,118,,97,
115,Dal Paratha,Veg,Bread,Breakfast,"salt,yoghurt, wheat flour, cilantro, oil, green pepper, chili powder, turmeric, dal, gram flour",2,296,11,,42,3.8,3,,8.4,482,,1.1,
116,Cutlet,Non-veg,Bread,Breakfast,"breadcrumb, flour, egg, vegetable oil, chicken breast",2,542,16.8,,32,1.6,1.9,,62,378,,296,
117,Raspberry Iced Tea,Veg,Beverage,Breakfast,"sugar, blacktea",259ml,88,0,,23,0,22,,0,0.2,,0,
118,Mango Iced tea,Veg,Beverage,Breakfast,"mango nectar, iced tea, sugar, fresh mint",254ml,82,0,,21,0.2,20,,0.1,8.8,,0,
119,Misal Pav,Veg,Bread,Breakfast,"salt, pinto bean, mung bean sprout, cilantro, jalapeno, onion, potato, ginger, oil, cumin, chili powder, turmeric, mustard seed, cumin seed, masala, water, coriander, curry leaves, dinner roll",452g,528,14.8,,84,16.8,7,,20,586,,0,
120,Boiled Corn,Veg,Salad,Breakfast,"corn, salt, water",149g,143,2.2,,31,3.6,6.8,0,5.1,377,,0,
121,Fruit salad,Veg,Salad,Breakfast,"pineapple, bananas, grape, kiwi, strawberries",162g,97,0.5,,24,3.3,16,,1.4,2.6,,0,
122,Chana Poori,Veg,Bread,Breakfast,"puri, chana dal",226g,393,14,,54,13,7.4,,15,471,,0,
123,Veggie Pasta,Veg,Poultry,Breakfast,"mushroom, salt, tomato, butter, carrot, garlic, pepper, lemon juice, tomato juice, leek, turnip, parmesan cheeze",248g,268,7.4,,40,3.5,4,,11,721,,17,
124,Poori Bhaji,Veg,Bread,Breakfast,"salt,flour, green chili pepper, potato, ginger, vegetable oil, cumin, water, coriander, asafoetida",351g,608,23,,92,10,2.8,,12,1190,,0,
